[001]Pressure   [002]radm   [003]AVmax   [004]I(C+, 158 um)   [005]I(O, 145 um)
1.0000e+07   1.0000e+00   2.0000e+00   1.9126e-08   1.4283e-09
1.0000e+07   1.0000e+01   2.0000e+00   1.3692e-06   3.7552e-07
1.0000e+07   1.0000e+02   2.0000e+00   4.4289e-05   1.6271e-05
1.0000e+07   1.0000e+03   2.0000e+00   2.3000e-04   1.5952e-04
1.0000e+07   1.0000e+04   2.0000e+00   4.7496e-04   4.1537e-04
1.0000e+07   1.0000e+05   2.0000e+00   6.3280e-04   6.1338e-04
1.0000e+07   3.5000e+00   2.0000e+00   1.9615e-07   3.7813e-08
1.0000e+07   3.5000e+01   2.0000e+00   1.0916e-05   3.4170e-06
1.0000e+07   3.5000e+02   2.0000e+00   1.3181e-04   7.1878e-05
1.0000e+07   3.5000e+03   2.0000e+00   3.6029e-04   2.9282e-04
1.0000e+07   3.5000e+04   2.0000e+00   5.9405e-04   5.4959e-04
1.0000e+08   1.0000e+00   2.0000e+00   6.6270e-11   1.4655e-10
1.0000e+08   1.0000e+01   2.0000e+00   2.2485e-08   1.3006e-08
1.0000e+08   1.0000e+02   2.0000e+00   3.4222e-06   4.6503e-06
1.0000e+08   1.0000e+03   2.0000e+00   8.4854e-05   1.5429e-04
1.0000e+08   1.0000e+04   2.0000e+00   2.9672e-04   6.5393e-04
1.0000e+08   1.0000e+05   2.0000e+00   5.4794e-04   1.2538e-03
1.0000e+08   3.5000e+00   2.0000e+00   8.0582e-10   8.7149e-10
1.0000e+08   3.5000e+01   2.0000e+00   4.5676e-07   5.1468e-07
1.0000e+08   3.5000e+02   2.0000e+00   2.5829e-05   4.0321e-05
1.0000e+08   3.5000e+03   2.0000e+00   1.9098e-04   3.9691e-04
1.0000e+08   3.5000e+04   2.0000e+00   4.3244e-04   9.8749e-04
1.0000e+09   1.0000e+00   2.0000e+00   2.6670e-12   4.4800e-11
1.0000e+09   1.0000e+01   2.0000e+00   1.6252e-10   7.8200e-10
1.0000e+09   1.0000e+02   2.0000e+00   8.0214e-08   2.4128e-07
1.0000e+09   1.0000e+03   2.0000e+00   9.1439e-06   6.2434e-05
1.0000e+09   1.0000e+04   2.0000e+00   8.2885e-05   4.6230e-04
1.0000e+09   1.0000e+05   2.0000e+00   2.8180e-04   1.1735e-03
1.0000e+09   3.5000e+00   2.0000e+00   1.6211e-11   1.7318e-10
1.0000e+09   3.5000e+01   2.0000e+00   4.3832e-09   7.0638e-09
1.0000e+09   3.5000e+02   2.0000e+00   1.4794e-06   8.7689e-06
1.0000e+09   3.5000e+03   2.0000e+00   3.4630e-05   2.3234e-04
1.0000e+09   3.5000e+04   2.0000e+00   1.8014e-04   8.2825e-04
3.5000e+05   1.0000e+00   2.0000e+00   3.0253e-06   1.9330e-08
3.5000e+05   1.0000e+01   2.0000e+00   3.1775e-05   4.6357e-07
3.5000e+05   1.0000e+02   2.0000e+00   1.2642e-04   7.3546e-06
3.5000e+05   1.0000e+03   2.0000e+00   2.3490e-04   2.1928e-05
3.5000e+05   1.0000e+04   2.0000e+00   2.8023e-04   3.3754e-05
3.5000e+05   1.0000e+05   2.0000e+00   3.1075e-04   3.5426e-05
